"Nazwa";"Marka";"Kategorie (x,y,z...)";"Cena zawiera podatek. (brutto)";"Podsumowanie";"Opis";"Adresy URL zdjęcia (x,y,z...)";"Ilość"
"GeForce RTX 3050 EX 1-Click OC 8GB GDDR6";"KFA2";"Karty graficzne NVIDIA";1599;"Układ: GeForce RTX 3050<br/>Pamięć: 8 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI 2.1 - 1 szt., DisplayPort 1.4a - 3 szt.<br/>Taktowanie pamięci: 14000 MHz";"Układ: GeForce RTX 3050<br/>Pamięć: 8 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI 2.1 - 1 szt., DisplayPort 1.4a - 3 szt.<br/>Taktowanie pamięci: 14000 MHz";"http://127.0.0.1/product_images/pr_2022_3_14_10_17_15_68_04.jpg";100
"GeForce RTX 3080 GameRock 12GB GDDR6X";"Palit";"Karty graficzne NVIDIA";6399;"Układ: GeForce RTX 3080<br/>Pamięć: 12 GB<br/>Rodzaj pamięci: GDDR6X<br/>Złącza: HDMI 2.1 - 1 szt., DisplayPort 1.4a - 3 szt.<br/>Taktowanie pamięci: 19000 MHz<br/>Taktowanie rdzenia: 1260 MHz";"Układ: GeForce RTX 3080<br/>Pamięć: 12 GB<br/>Rodzaj pamięci: GDDR6X<br/>Złącza: HDMI 2.1 - 1 szt., DisplayPort 1.4a - 3 szt.<br/>Taktowanie pamięci: 19000 MHz<br/>Taktowanie rdzenia: 1260 MHz";"http://127.0.0.1/product_images/pr_2022_2_21_15_11_10_84_05.jpg";100
"GeForce RTX 3050 Dual 8GB GDDR6";"Palit";"Karty graficzne NVIDIA";1669;"Układ: GeForce RTX 3050<br/>Pamięć: 8 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI 2.1 - 1 szt., DisplayPort 1.4a - 3 szt.<br/>Taktowanie pamięci: 14000 MHz<br/>Taktowanie rdzenia: 1552 MHz";"Układ: GeForce RTX 3050<br/>Pamięć: 8 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI 2.1 - 1 szt., DisplayPort 1.4a - 3 szt.<br/>Taktowanie pamięci: 14000 MHz<br/>Taktowanie rdzenia: 1552 MHz";"http://127.0.0.1/product_images/pr_2022_1_27_12_11_39_826_06.jpg";100
"GeForce GT 730 2GB GDDR5";"ASUS";"Karty graficzne NVIDIA";459;"Układ: GeForce GT 730<br/>Pamięć: 2 GB<br/>Rodzaj pamięci: GDDR5<br/>Złącza: HDMI 1.4b - 4 szt.<br/>Taktowanie pamięci: 5010 MHz";"Układ: GeForce GT 730<br/>Pamięć: 2 GB<br/>Rodzaj pamięci: GDDR5<br/>Złącza: HDMI 1.4b - 4 szt.<br/>Taktowanie pamięci: 5010 MHz";"http://127.0.0.1/product_images/pr_2022_1_28_11_49_51_348_00.jpg";100
"GeForce RTX 3050 AERO ITX OC 8GB GDDR6";"MSI";"Karty graficzne NVIDIA";1779;"Układ: GeForce RTX 3050<br/>Pamięć: 8 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI 2.1 - 1 szt., DisplayPort 1.4 - 3 szt.<br/>Taktowanie pamięci: 14000 MHz";"Układ: GeForce RTX 3050<br/>Pamięć: 8 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI 2.1 - 1 szt., DisplayPort 1.4 - 3 szt.<br/>Taktowanie pamięci: 14000 MHz";"http://127.0.0.1/product_images/pr_2022_1_25_8_44_7_995_04.jpg";100
"Radeon RX 6500 XT Dual OC 4GB GDDR6";"ASUS";"Karty graficzne AMD";1449;"Układ: Radeon™ RX 6500 XT<br/>Pamięć: 4 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI 2.1 - 1 szt., DisplayPort 1.4a - 1 szt.<br/>Taktowanie pamięci: 18000 MHz";"Układ: Radeon™ RX 6500 XT<br/>Pamięć: 4 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI 2.1 - 1 szt., DisplayPort 1.4a - 1 szt.<br/>Taktowanie pamięci: 18000 MHz";"http://127.0.0.1/product_images/pr_2022_1_21_10_14_44_753_08.jpg";100
"Radeon RX 6500 XT Phantom Gaming D OC 4GB GDDR6";"ASRock";"Karty graficzne AMD";1129;"Układ: Radeon™ RX 6500 XT<br/>Pamięć: 4 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI 2.1 - 1 szt., DisplayPort 1.4a - 1 szt.<br/>Taktowanie pamięci: 18000 MHz<br/>Taktowanie rdzenia: 2365 MHz";"Układ: Radeon™ RX 6500 XT<br/>Pamięć: 4 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI 2.1 - 1 szt., DisplayPort 1.4a - 1 szt.<br/>Taktowanie pamięci: 18000 MHz<br/>Taktowanie rdzenia: 2365 MHz";"http://127.0.0.1/product_images/pr_2022_1_19_15_26_3_437_04.jpg";100
"Radeon RX 6500 XT EAGLE 4GB GDDR6";"Gigabyte";"Karty graficzne AMD";1259;"Układ: Radeon™ RX 6500 XT<br/>Pamięć: 4 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI 2.1 - 1 szt., DisplayPort 1.4a - 1 szt.<br/>Taktowanie pamięci: 18000 MHz";"Układ: Radeon™ RX 6500 XT<br/>Pamięć: 4 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: HDMI 2.1 - 1 szt., DisplayPort 1.4a - 1 szt.<br/>Taktowanie pamięci: 18000 MHz";"http://127.0.0.1/product_images/pr_2022_1_19_7_45_29_662_06.jpg";100
"Quadro RTX A2000 6GB GDDR6";"PNY";"Karty graficzne NVIDIA";3499;"Układ: Quadro RTX A2000<br/>Pamięć: 6 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: mini DisplayPort - 4 szt.";"Układ: Quadro RTX A2000<br/>Pamięć: 6 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: mini DisplayPort - 4 szt.";"http://127.0.0.1/product_images/pr_2021_11_16_14_16_25_393_01.jpg";100
"Quadro T400 2GB GDDR6";"PNY";"Karty graficzne NVIDIA";999;"Układ: Quadro T400<br/>Pamięć: 2 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: mini DisplayPort - 3 szt.";"Układ: Quadro T400<br/>Pamięć: 2 GB<br/>Rodzaj pamięci: GDDR6<br/>Złącza: mini DisplayPort - 3 szt.";"http://127.0.0.1/product_images/pr_2021_11_2_13_56_27_191_06.jpg";100
