"Nazwa";"Marka";"Kategorie (x,y,z...)";"Cena zawiera podatek. (brutto)";"Podsumowanie";"Opis";"Adresy URL zdjęcia (x,y,z...)";"Ilość"
"Ryzen Threadripper PRO 5965WX";"AMD";"Procesory AMD Threadripper";13999;"Gniazdo procesora: Socket sWRX8<br/>Taktowanie: 3.8 GHz<br/>Liczba rdzeni: 24 rdzenie<br/>Cache: 140 MB<br/>Dodatkowe informacje: Wersja BOX";"Gniazdo procesora: Socket sWRX8<br/>Taktowanie: 3.8 GHz<br/>Liczba rdzeni: 24 rdzenie<br/>Cache: 140 MB<br/>Dodatkowe informacje: Wersja BOX";"http://127.0.0.1/product_images/pr_2022_8_18_13_35_58_215_01.jpg";100
"Ryzen Threadripper PRO 5975WX";"AMD";"Procesory AMD Threadripper";19399;"Gniazdo procesora: Socket sWRX8<br/>Taktowanie: 3.6 GHz<br/>Liczba rdzeni: 32 rdzenie<br/>Cache: 144 MB<br/>Dodatkowe informacje: Wersja BOX";"Gniazdo procesora: Socket sWRX8<br/>Taktowanie: 3.6 GHz<br/>Liczba rdzeni: 32 rdzenie<br/>Cache: 144 MB<br/>Dodatkowe informacje: Wersja BOX";"http://127.0.0.1/product_images/pr_2022_8_18_13_35_58_215_01.jpg";100
"Ryzen Threadripper PRO 5995WX";"AMD";"Procesory AMD Threadripper";37999;"Gniazdo procesora: Socket sWRX8<br/>Taktowanie: 2.7 GHz<br/>Liczba rdzeni: 64 rdzenie<br/>Cache: 288 MB<br/>Dodatkowe informacje: Wersja BOX";"Gniazdo procesora: Socket sWRX8<br/>Taktowanie: 2.7 GHz<br/>Liczba rdzeni: 64 rdzenie<br/>Cache: 288 MB<br/>Dodatkowe informacje: Wersja BOX";"http://127.0.0.1/product_images/pr_2022_8_18_13_35_58_215_01.jpg";100
"Core i3-10325";"Intel";"Procesory Intel Core i3";929;"Gniazdo procesora: Socket 1200<br/>Taktowanie: 3.9 GHz<br/>Liczba rdzeni: 4 rdzenie<br/>Cache: 8 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"Gniazdo procesora: Socket 1200<br/>Taktowanie: 3.9 GHz<br/>Liczba rdzeni: 4 rdzenie<br/>Cache: 8 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"http://127.0.0.1/product_images/pr_2021_3_15_14_54_28_219_00.jpg";100
"Core i3-10305";"Intel";"Procesory Intel Core i3";899;"Gniazdo procesora: Socket 1200<br/>Taktowanie: 3.8 GHz<br/>Liczba rdzeni: 4 rdzenie<br/>Cache: 8 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"Gniazdo procesora: Socket 1200<br/>Taktowanie: 3.8 GHz<br/>Liczba rdzeni: 4 rdzenie<br/>Cache: 8 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"http://127.0.0.1/product_images/pr_2021_3_15_14_49_52_428_00.jpg";100
"Pentium G6405";"Intel";"Procesory Intel Pentium";379;"Gniazdo procesora: Socket 1200<br/>Taktowanie: 4.1 GHz<br/>Liczba rdzeni: 2 rdzenie<br/>Cache: 4 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™";"Gniazdo procesora: Socket 1200<br/>Taktowanie: 4.1 GHz<br/>Liczba rdzeni: 2 rdzenie<br/>Cache: 4 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™";"http://127.0.0.1/product_images/pr_2021_3_15_14_32_48_852_00.jpg";100
"Threadripper PRO 3955WX";"AMD";"Procesory AMD Threadripper";6099;"Gniazdo procesora: Socket sWRX8<br/>Taktowanie: 3.9 GHz<br/>Liczba rdzeni: 16 rdzeni<br/>Cache: 72 MB<br/>Dodatkowe informacje: Wersja BOX";"Gniazdo procesora: Socket sWRX8<br/>Taktowanie: 3.9 GHz<br/>Liczba rdzeni: 16 rdzeni<br/>Cache: 72 MB<br/>Dodatkowe informacje: Wersja BOX";"http://127.0.0.1/product_images/pr_2021_3_3_8_54_9_824_01.jpg";100
"Threadripper PRO 3975WX";"AMD";"Procesory AMD Threadripper";12699;"Gniazdo procesora: Socket sWRX8<br/>Taktowanie: 3.5 GHz<br/>Liczba rdzeni: 32 rdzenie<br/>Cache: 144 MB<br/>Dodatkowe informacje: Wersja BOX";"Gniazdo procesora: Socket sWRX8<br/>Taktowanie: 3.5 GHz<br/>Liczba rdzeni: 32 rdzenie<br/>Cache: 144 MB<br/>Dodatkowe informacje: Wersja BOX";"http://127.0.0.1/product_images/pr_2021_3_3_8_54_9_824_01.jpg";100
"Threadripper PRO 3995WX";"AMD";"Procesory AMD Threadripper";28999;"Gniazdo procesora: Socket sWRX8<br/>Taktowanie: 2.7 GHz<br/>Liczba rdzeni: 64 rdzenie<br/>Cache: 288 MB<br/>Dodatkowe informacje: Wersja BOX";"Gniazdo procesora: Socket sWRX8<br/>Taktowanie: 2.7 GHz<br/>Liczba rdzeni: 64 rdzenie<br/>Cache: 288 MB<br/>Dodatkowe informacje: Wersja BOX";"http://127.0.0.1/product_images/pr_2021_3_3_8_54_9_824_01.jpg";100
"Core i9-11900";"Intel";"Procesory Intel Core i9";2599;"Gniazdo procesora: Socket 1200<br/>Taktowanie: 2.5 GHz<br/>Liczba rdzeni: 8 rdzeni<br/>Cache: 16 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"Gniazdo procesora: Socket 1200<br/>Taktowanie: 2.5 GHz<br/>Liczba rdzeni: 8 rdzeni<br/>Cache: 16 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"http://127.0.0.1/product_images/pr_2021_3_15_10_44_13_191_00.jpg";100
